url,title,price,bike_year,mileage,localisation,brand,model,engine_size
https://www.leboncoin.fr/motos/1998214841.htm?ac=4051296304, zr7,1900.0,2000,68000,Villefranche-sur-Saône 69400,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1997981009.htm?ac=4051296304,a2 zr7 750cc ,1700.0,2000,85000,Saint-Péray 07130,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1997856839.htm?ac=4051296304, zr7,2170.0,2000,43588,Rochecorbon 37210,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1997822747.htm?ac=4051296304, 750 zr7 9850 s,2500.0,2000,9580,Noisy-le-Roi 78590,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1997732885.htm?ac=4051296304, zr7,3000.0,2000,34600,Beaumont Saint-Cyr 86490,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1996906161.htm?ac=4051296304, zr7 780 de 38600 ,2700.0,2000,38600,Breitenbach 67220,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/2000762081.htm?ac=4051296304, 750 zr7,1990.0,2000,60000,Laval 53000,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1999026770.htm?ac=4051296304, z1000 r ,11000.0,2020,9000,Paris 75015 15e Arrondissement,kawasaki,z1000,1043.0
https://www.leboncoin.fr/motos/1999516110.htm?ac=4051296304, z1000sx abs  s,12990.0,2020,2000,Abbeville 80100,kawasaki,z1000,1043.0
https://www.leboncoin.fr/motos/1998442993.htm?ac=4051296304, z 1000 h2 z1000 h2 z1000h2,11990.0,2020,2806,Toulon 83000,kawasaki,z1000,1043.0
https://www.leboncoin.fr/motos/1997068870.htm?ac=4051296304, z1000 h2,15690.0,2020,2240,Cognac 16100,kawasaki,z1000,1043.0
https://www.leboncoin.fr/motos/1996471366.htm?ac=4051296304, z1000 r,12700.0,2020,2835,Souffelweyersheim 67460,kawasaki,z1000,1043.0
https://www.leboncoin.fr/motos/1993829667.htm?ac=4051296304, z650 z650,6490.0,2017,7725,Compiègne 60200,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1999861224.htm?ac=4051296304, z650,5000.0,2017,28781,Vaux-le-Pénil 77000,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1999666900.htm?ac=4051296304, z650 titanium,5600.0,2017,12400,Privas 07000,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1999625450.htm?ac=4051296304, z650 bridée,6000.0,2017,7360,L'Isle-d'Abeau 38080,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1999583709.htm?ac=4051296304, z650 a2 abs,5790.0,2017,11120,Saint-Laurent-du-Var 06700,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1986529495.htm?ac=4051296304, z650 a2 garantie 6 mois,6590.0,2017,3500,Savigny-sur-Orge 91600,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1998694889.htm?ac=4051296304, z650 bridé a2,5600.0,2017,32000,Phalsbourg 57370,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1998125381.htm?ac=4051296304, z650 a2,5800.0,2017,17300,Scionzier 74950,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1997748412.htm?ac=4051296304, z650 a2,6000.0,2017,19600,Ecrouves 54200,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1997731754.htm?ac=4051296304, z650 a2,5500.0,2017,8837,Cappelle-la-Grande 59180,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1960951046.htm?ac=4051296304, z650,5890.0,2017,6899,Lannion 22300,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1997334224.htm?ac=4051296304, z650 z 650 a2,5890.0,2017,18250,Coignières 78310,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1997123432.htm?ac=4051296304, z650 ,5700.0,2017,12500,Nancy 54000,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1996807133.htm?ac=4051296304, z650,6500.0,2017,13500,Versailles 78000,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1996700983.htm?ac=4051296304, z 650 ,5800.0,2017,13600,Segonzac 16130,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1995948227.htm?ac=4051296304, z650,6100.0,2017,2069,Le Havre 76600,kawasaki,z650,649.0
https://www.leboncoin.fr/motos/1996359588.htm?ac=4051296304, zr7,2890.0,2003,18100,Cahors 46000,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/2000105454.htm?ac=4051296304, zr7,1800.0,2003,43000,Préseau 59990,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1999377712.htm?ac=4051296304, zr7,750.0,2003,61000,Dorans 90400,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1997813482.htm?ac=4051296304, zr7,1300.0,2003,44000,Frontignan 34110,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1976971637.htm?ac=4051296304, zr7 45000s scrambler,3500.0,2003,45000,Annecy 74000,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1997364814.htm?ac=4051296304, zr7,2500.0,2003,39000,Caen 14000,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1961496780.htm?ac=4051296304, zr7,1300.0,2003,81650,Aussac 81600,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1969263537.htm?ac=4051296304, versys 1000,11890.0,2018,4990,Lucé 28110,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/2000076934.htm?ac=4051296304, versys 1000 grand trer,10700.0,2018,28170,Tollevast 50470 La Rocambole,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/1999899161.htm?ac=4051296304, versys 1000,9500.0,2018,34000,Marseille 13011 11e Arrondissement,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/1989933653.htm?ac=4051296304, versys 1000,9790.0,2018,6735,Biéville-Beuville 14112,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/1996533591.htm?ac=4051296304, versys 1000,11600.0,2018,7273,Alban 81250,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/1939422199.htm?ac=4051296304, versys 1000,10990.0,2018,7250,Lanester 56600,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/1986263589.htm?ac=4051296304, zx7r,4000.0,2001,52000,Seysses 31600,kawasaki,zx7rninja,748.0
https://www.leboncoin.fr/motos/1997486160.htm?ac=4051296304,zx7r ,4200.0,2001,54800,Pompignan 82170,kawasaki,zx7rninja,748.0
https://www.leboncoin.fr/motos/2000134768.htm?ac=4051296304, versys 650,4000.0,2007,40000,Campénéac 56800,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/2000047428.htm?ac=4051296304, versys 650 abs a2,3000.0,2007,53000,Mellecey 71640,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1993681744.htm?ac=4051296304, versys 650 versys650 a2,3990.0,2007,25660,Alès 30100,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1999398135.htm?ac=4051296304, versys 650 ,3000.0,2007,37000,Villevocance 07690,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1999089383.htm?ac=4051296304, versys 650,1800.0,2007,76500,Ergué-Gabéric 29500,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1998423977.htm?ac=4051296304, 650 versys faible ,3800.0,2007,15900,Sainghin-en-Weppes 59184,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1998241780.htm?ac=4051296304, versys 650 a2,2300.0,2007,85000,Vimont 14370,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1996462886.htm?ac=4051296304,vend 650 versys,2900.0,2007,51000,Artix 64170,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/2000133123.htm?ac=4051296304, versys 1000,6500.0,2015,55000,Vence 06140,kawasaki,versys1000,1043.0
https://www.leboncoin.fr/motos/2000126699.htm?ac=4051296304, z1000,3200.0,2003,43000,La Force 24130,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/1999155530.htm?ac=4051296304, z1000,3500.0,2003,76000,Chambéry 73000,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/1998520925.htm?ac=4051296304, z1000 faible kilométrage,3500.0,2003,39000,Noisiel 77186,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/1998451434.htm?ac=4051296304, z1000,3500.0,2003,52135,Dijon 21000,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/1997562027.htm?ac=4051296304, z1000,3800.0,2003,22000,Somain 59490,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/1996326697.htm?ac=4051296304, z1000,4200.0,2003,22000,Somain 59490,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/2000933075.htm?ac=4051296304, z1000 faible kilométrage,3500.0,2003,39000,Noisiel 77186,kawasaki,z1000,953.0
https://www.leboncoin.fr/motos/2000123778.htm?ac=4051296304, zzr 1400,14000.0,2018,14500,Ygos-Saint-Saturnin 40110,kawasaki,zzr1400,1441.0
https://www.leboncoin.fr/motos/2000117428.htm?ac=4051296304, 650 versys bridable a2,3200.0,2008,31400,Nieuil-l'Espoir 86340,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1999816312.htm?ac=4051296304, versys 650cc,1900.0,2008,84000,Marseille 13004 4e Arrondissement,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1999588725.htm?ac=4051296304, versys,2900.0,2008,57000,Innenheim 67880,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1999483081.htm?ac=4051296304, versys 650,3200.0,2008,40000,Anet 28260,kawasaki,versys,649.0
