uniq_id,reference,brand,model,price,bike_year,bike_type,engine_size,mileage,source,scraped_date,url,age,code_annonce
motomag-8452450,8452450,yamaha,fz6 600 fazer,3990,2009,Roadster,600,22500,motomag,2021-08-13 07:50:13.158861,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452450,12,Roadster-59240YAMAHA-FZ6600FAZER3990€2009-22500km11/08/2021
motomag-8452451,8452451,honda,nss forza 300,4990,2019,Scooter,300,3100,motomag,2021-08-13 07:50:15.217921,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452451,2,Scooter-59240HONDA-NSSFORZA3004990€2019-3100km11/08/2021
motomag-8452332,8452332,kymco,xciting 400i,3490,2016,Scooter,400,9800,motomag,2021-08-13 07:50:17.602373,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452332,5,Scooter-03100KYMCO-XCITING400I3490€2016-9800km27/04/2021
motomag-8452616,8452616,honda,swt 600,3399,2015,Scooter,600,33900,motomag,2021-08-13 07:50:19.634022,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452616,6,Scooter-75013HONDA-SWT6003399€2015-33900km24/04/2021
motomag-8452055,8452055,quadro,qooder,8890,2019,Scooter,400,7400,motomag,2021-08-13 07:50:21.810466,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452055,2,Scooter-66000QUADRO-QOODER8890€2019-7400km11/12/2019
motomag-8453391,8453391,peugeot,metropolis 400,8920,2021,Scooter,400,260,motomag,2021-08-13 07:50:25.681512,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453391,0,Scooter-38150PEUGEOT-METROPOLIS4008920€2021-260km25/06/2021
motomag-8454695,8454695,piaggio,mp3 300 lt abs,3999,2016,Scooter,300,15600,motomag,2021-08-13 07:50:27.723382,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454695,5,Scooter-75017PIAGGIO-MP3300LTABS3999€2016-15600km25/06/2021
motomag-8451898,8451898,bmw,s1000r abs,9990,2018,Roadster,1000,21600,motomag,2021-08-13 07:50:29.921589,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8451898,3,Roadster-25300BMW-S1000RABS9990€2018-21600km25/06/2021
motomag-8452742,8452742,yamaha,golfette drive  a,5950,2019,Véhicules utilitaires,1,10,motomag,2021-08-13 07:50:32.205467,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452742,2,Véhiculesutilitaires-55430YAMAHA-GOLFETTEDRIVE5950€2019-10km05/10/2019
motomag-8452806,8452806,bmw,f 800 gt,1800,2019,Routière,800,1382,motomag,2021-08-13 07:50:36.037612,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452806,2,Routière-45290BMW-F800GT1800€2019-1382km07/08/2019
motomag-8453495,8453495,beta,evo,6200,2020,Trial,300,430,motomag,2021-08-13 07:50:38.047782,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453495,1,Trial-70000BETA-EVO6200€2020-430km31/07/2019
motomag-8453880,8453880,honda,cb 1300 s,2490,2010,Roadster,1300,155000,motomag,2021-08-13 07:50:40.590535,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453880,11,Roadster-06400HONDA-CB1300S2490€2010-155000km16/06/2021
motomag-8454521,8454521,kawasaki,zzr 1400,14499,2017,Sportive,1400,20000,motomag,2021-08-13 07:50:42.829981,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454521,4,Sportive-33500KAWASAKI-ZZR140014499€2017-20000km15/06/2021
motomag-8454878,8454878,suzuki,gsf 1200 n bandit,3490,2003,Roadster,1200,35000,motomag,2021-08-13 07:50:45.023199,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454878,18,Roadster-72230SUZUKI-GSF1200NBAND3490€2003-35000km06/08/2021
motomag-8455485,8455485,suzuki,katana 1000,8990,2019,Roadster,1000,5221,motomag,2021-08-13 07:50:47.107984,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455485,2,Roadster-75015SUZUKI-KATANA10008990€2019-5221km05/08/2021
motomag-8455486,8455486,yamaha,x-max 125,2590,2012,Scooter,125,39816,motomag,2021-08-13 07:50:49.664718,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455486,9,Scooter-75015YAMAHA-X-MAX1252590€2012-39816km05/08/2021
motomag-8455487,8455487,honda,nss forza 125,3490,2017,Scooter,125,18250,motomag,2021-08-13 07:50:51.855042,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455487,4,Scooter-75015HONDA-NSSFORZA1253490€2017-18250km05/08/2021
motomag-8454599,8454599,yamaha,majesty,1890,2014,Scooter,125,15442,motomag,2021-08-13 07:50:54.149337,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454599,7,Scooter-44700YAMAHA-MAJESTY1890€2014-15442km06/08/2021
motomag-8453096,8453096,kawasaki,z 750 r,2790,2005,Roadster,750,55011,motomag,2021-08-13 07:50:56.606754,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453096,16,Roadster-11000KAWASAKI-Z750R2790€2005-55011km23/07/2021
motomag-8452801,8452801,suzuki,sv 1000 s,1200,2004,Sportive,1000,51684,motomag,2021-08-13 07:50:59.200655,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452801,17,Sportive-45290SUZUKI-SV1000S1200€2004-51684km17/11/2017
motomag-8453488,8453488,yamaha,yfz 50,2499,2021,Quad Enfant,50,0,motomag,2021-08-13 07:51:01.196754,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453488,0,QuadEnfant-70000YAMAHA-YFZ502499€2021-0km10/01/2017
motomag-8453487,8453487,yamaha,fjr 1300 as,7950,2008,Routière,1300,24351,motomag,2021-08-13 07:51:03.196230,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453487,13,Routière-70000YAMAHA-FJR1300AS7950€2008-24351km08/07/2016
motomag-8453486,8453486,suzuki,sv 650,5800,2019,Roadster,650,13404,motomag,2021-08-13 07:51:05.326974,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453486,2,Roadster-70000SUZUKI-SV6505800€2019-13404km11/06/2016
motomag-8453363,8453363,piaggio,beverly 350,5150,2021,Scooter,350,1950,motomag,2021-08-13 07:51:08.013631,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453363,0,Scooter-38400PIAGGIO-BEVERLY3505150€2021-1950km27/05/2021
motomag-8452453,8452453,yamaha,mt-09,7790,2017,Roadster,850,17337,motomag,2021-08-13 07:51:10.390631,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452453,4,Roadster-71100YAMAHA-MT-097790€2017-17337km20/07/2021
motomag-8455476,8455476,peugeot,metropolis 400,2990,2015,Scooter,400,42000,motomag,2021-08-13 07:51:12.672426,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455476,6,Scooter-75015PEUGEOT-METROPOLIS4002990€2015-42000km14/07/2021
motomag-8452788,8452788,moto-guzzi,griso,8490,2016,Roadster,1200,31000,motomag,2021-08-13 07:51:14.998208,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452788,5,Roadster-07200MOTO-GUZZI-GRISO8490€2016-31000km22/06/2021
motomag-8453364,8453364,piaggio,px 125,3250,2012,Collection,125,21500,motomag,2021-08-13 07:51:17.108994,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453364,9,Collection-38400PIAGGIO-PX1253250€2012-21500km22/06/2021
motomag-8452937,8452937,piaggio,x9 250,500,2003,Scooter,250,92977,motomag,2021-08-13 07:51:19.296322,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452937,18,Scooter-45290PIAGGIO-X9250500€2003-92977km09/08/2021
motomag-8452938,8452938,piaggio,125 pantheon,400,1998,Scooter,125,34862,motomag,2021-08-13 07:51:21.381260,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452938,23,Scooter-45290PIAGGIO-125PANTHEON400€1998-34862km09/08/2021
motomag-8452939,8452939,sym,symphony 125,500,2016,Scooter,125,8251,motomag,2021-08-13 07:51:23.420514,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452939,5,Scooter-45290SYM-SYMPHONY125500€2016-8251km09/08/2021
motomag-8452940,8452940,sym,jet-4 125,700,2019,Scooter,50,4247,motomag,2021-08-13 07:51:25.353065,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452940,2,Scooter-45290SYM-JET-4125700€2019-4247km09/08/2021
