bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
Marron,Routière,2014,Yamaha,,1300,,,47957,FJR 1300 AS,10890,1874494,2021-06-22 11:25:53.224929,motovente,motovente-1874494,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874494.html,FJR 1300 AS,non,09-05-2014
ALUMINIUM SILVER,Routière,2013,Triumph,,1000,,,42000,SPRINT ST GT,6190,1872307,2021-06-22 11:25:53.252132,motovente,motovente-1872307,http://motovente.com/moto-occasion/annonce-moto-triumph-1872307.html,SPRINT ST GT,non,31-05-2013
Bleu,Sportive,2012,Suzuki,,1000,,,28508,GSX-R 1000,8990,1874123,2021-06-22 11:25:53.277843,motovente,motovente-1874123,http://motovente.com/moto-occasion/annonce-moto-suzuki-1874123.html,GSX-R 1000,non,06-06-2012
Blanc,Roadster,2020,KTM,,125,,,165,125 DUKE,4999,1873634,2021-06-22 11:25:53.312419,motovente,motovente-1873634,http://motovente.com/moto-occasion/annonce-moto-ktm-1873634.html,125 DUKE,non,02-05-2021
Argent,Roadster,2021,Yamaha,,695,,,600,MT-07 (47.5CV),8990,1873180,2021-06-22 11:25:53.342488,motovente,motovente-1873180,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873180.html,MT-07 (47.5CV),non,10-04-2021
Vert,Routière,2018,Kawasaki,,1000,,,12900,Ninja H2 SX,14490,1873383,2021-06-22 11:25:53.368650,motovente,motovente-1873383,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873383.html,Ninja H2 SX,non,04-04-2018
Gris,Roadster,2016,Yamaha,,125,,,27000,MT-125 ABS,3790,1873437,2021-06-22 11:25:53.399517,motovente,motovente-1873437,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873437.html,MT-125 ABS,non,01-05-2016
Gris,Scooter,2016,Yamaha,,530,,,30000,TMAX 530 IRON MAX,9390,1870937,2021-06-22 11:25:53.426650,motovente,motovente-1870937,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1870937.html,TMAX 530 IRON MAX,non,10-11-2016
Argent,Scooter,2020,Suzuki,,125,,,3368,BURGMAN,3999,1856719,2021-06-22 11:25:53.458816,motovente,motovente-1856719,http://motovente.com/scooter-occasion/annonce-scooter-suzuki-1856719.html,BURGMAN 125,non,04-03-2020
Gris,Roadster,2020,Kawasaki,,1000,Oui,,3200,Z 1000 H2,15490,1849095,2021-06-22 11:25:53.484875,motovente,motovente-1849095,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1849095.html,Z 1000 H2,non,15-06-2020
Bleu,Enduro,2003,Yamaha,,250,,,5960,WR,3490,1873264,2021-06-22 11:25:53.514509,motovente,motovente-1873264,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873264.html,WR250F,non,10-03-2003
Bleu,Trail,2017,BMW,,800,,,18500,F 800 GT,7690,1834650,2021-06-22 11:25:53.542576,motovente,motovente-1834650,http://motovente.com/moto-occasion/annonce-moto-bmw-1834650.html,F 800 GT,non,20-03-2017
