source,step,status,time,details
moto-occasion,scrap annonces,completed,2021-06-17 15:48:26.327297,"6.316666666666666 minutes elapsed, 205 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-17 15:48:26.333338,
moto-selection,scrap pages,completed,2021-06-17 15:50:46.253203,"13.35 minutes elapsed, 236 pages scrapped"
moto-selection,scrap annonces,started,2021-06-17 15:50:46.307566,
moto-occasion,to dataframe,completed,2021-06-17 15:59:09.799867,10.716666666666667 minutes elapsed
moto-selection,scrap annonces,completed,2021-06-17 16:01:35.356500,"10.816666666666666 minutes elapsed, 213 annonces scrapped"
moto-selection,to dataframe,started,2021-06-17 16:01:35.361812,
moto-selection,to dataframe,error,2021-06-17 16:16:42.745638,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-19 11:31:40.257611,
moto-selection,scrap pages,started,2021-06-19 11:31:52.792432,
moto-occasion,scrap pages,completed,2021-06-19 11:36:24.692000,"4.733333333333333 minutes elapsed, 145 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-19 11:36:24.735109,
moto-occasion,scrap annonces,completed,2021-06-19 11:42:23.080372,"5.966666666666667 minutes elapsed, 197 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-19 11:42:23.085745,
moto-selection,scrap pages,completed,2021-06-19 11:44:40.033132,"12.783333333333333 minutes elapsed, 242 pages scrapped"
moto-selection,scrap annonces,started,2021-06-19 11:44:40.090307,
moto-occasion,to dataframe,completed,2021-06-19 11:51:00.274388,8.616666666666667 minutes elapsed
moto-selection,scrap annonces,completed,2021-06-19 12:04:13.633157,"19.55 minutes elapsed, 410 annonces scrapped"
moto-selection,to dataframe,started,2021-06-19 12:04:13.638807,
moto-selection,to dataframe,error,2021-06-19 12:31:42.708497,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-20 13:17:29.507881,
moto-selection,scrap pages,started,2021-06-20 13:20:00.628719,
moto-occasion,scrap pages,completed,2021-06-20 13:22:08.569200,"4.65 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 13:22:08.610480,
moto-occasion,scrap annonces,completed,2021-06-20 13:24:51.603511,"2.716666666666667 minutes elapsed, 88 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 13:24:51.608755,
moto-occasion,to dataframe,completed,2021-06-20 13:27:15.907207,2.4 minutes elapsed
moto-selection,scrap pages,completed,2021-06-20 13:33:02.558099,"13.016666666666667 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 13:33:02.615016,
moto-selection,scrap annonces,completed,2021-06-20 13:42:58.099838,"9.916666666666666 minutes elapsed, 209 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 13:42:58.105542,
moto-selection,to dataframe,error,2021-06-20 13:43:43.666888,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-20 14:00:37.942737,
moto-selection,scrap pages,started,2021-06-20 14:01:00.653521,
moto-selection,scrap pages,started,2021-06-20 14:06:18.377089,
moto-selection,scrap pages,started,2021-06-20 14:07:45.429270,
moto-selection,scrap pages,started,2021-06-20 14:08:08.321616,
moto-selection,scrap pages,started,2021-06-20 14:09:18.605970,
moto-selection,scrap pages,started,2021-06-20 14:12:09.788836,
moto-selection,scrap pages,started,2021-06-20 14:12:43.947474,
moto-selection,scrap pages,started,2021-06-20 14:13:29.210931,
moto-selection,scrap pages,completed,2021-06-20 14:16:24.409901,"2.9166666666666665 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 14:16:24.465714,
moto-selection,scrap annonces,error,2021-06-20 14:16:24.471000,bad operand type for unary +: 'str'
moto-selection,to dataframe,started,2021-06-20 14:16:24.475261,
moto-selection,to dataframe,error,2021-06-20 14:16:24.489352,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-20 14:16:29.795106,
moto-occasion,scrap pages,completed,2021-06-20 14:17:41.515532,"1.1833333333333333 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 14:17:41.558332,
moto-occasion,scrap annonces,completed,2021-06-20 14:17:57.855300,"0.26666666666666666 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 14:17:57.860525,
moto-occasion,to dataframe,completed,2021-06-20 14:17:57.875730,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 14:28:29.353245,
moto-selection,scrap pages,completed,2021-06-20 14:31:26.446462,"2.95 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 14:31:26.500857,
moto-selection,scrap annonces,error,2021-06-20 14:31:26.505684,bad operand type for unary +: 'str'
moto-selection,to dataframe,started,2021-06-20 14:31:26.510590,
moto-selection,to dataframe,error,2021-06-20 14:31:26.523899,name 'page_number' is not defined
moto-selection,scrap pages,started,2021-06-20 14:35:54.288868,
moto-selection,scrap pages,completed,2021-06-20 14:38:49.160535,"2.9 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 14:38:49.212902,
moto-selection,scrap annonces,error,2021-06-20 14:38:49.218502,bad operand type for unary +: 'str'
moto-selection,to dataframe,started,2021-06-20 14:38:49.222812,
moto-selection,scrap pages,completed,2021-06-20 14:38:49.234151,"0.0 minutes elapsed, 1 pages scrapped"
moto-selection,scrap pages,started,2021-06-20 14:43:08.637199,
moto-selection,scrap pages,completed,2021-06-20 14:46:01.069502,"2.8666666666666667 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 14:46:01.124402,
moto-selection,scrap pages,started,2021-06-20 14:47:21.214904,
moto-selection,scrap pages,completed,2021-06-20 14:50:15.658556,"2.9 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 14:50:15.710318,
moto-selection,scrap annonces,completed,2021-06-20 15:04:19.038286,"14.05 minutes elapsed, 260 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 15:04:19.044325,
moto-selection,scrap pages,completed,2021-06-20 15:04:21.468430,"0.03333333333333333 minutes elapsed, 53 pages scrapped"
moto-occasion,scrap pages,started,2021-06-20 16:10:56.233784,
moto-occasion,scrap pages,completed,2021-06-20 16:12:08.283445,"1.2 minutes elapsed, 147 pages scrapped"
