url,uniq_id,brand,bike_year,mileage,bike_type,price,model,engine_size,date_scrapped
https://www.motoplanete.com/occasion-moto/41499/VERSYS-1000/fiche.html,motoplanete-41499,kawasaki,2016,19200.0,Trail,9990.0,versys 1000 2016,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/34362/K-1200-LT/fiche.html,motoplanete-34362,bmw,2000,103777.0,Routière & GT,4990.0,k 1200 lt 2000,1200.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/40196/CB-750/fiche.html,motoplanete-40196,honda,1972,201.0,Routière & GT,7500.0,cb 750 1972,750.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/21411/NIKEN/fiche.html,motoplanete-21411,yamaha,2018,2700.0,Routière & GT,11890.0,niken 2018,847.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42573/BONNEVILLE-865-T100/fiche.html,motoplanete-42573,triumph,2014,8300.0,Routière & GT,8290.0,bonneville 865 t100 2014,865.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/40109/SCRAMBLER/fiche.html,motoplanete-40109,ducati,2018,9800.0,Roadster,7990.0,scrambler 2018,800.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42113/CHIEFTAIN-LIMITED/fiche.html,motoplanete-42113,indian,2017,23855.0,Custom,18750.0,chieftain limited 2017,1811.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/23916/GSF-1200-N-BANDIT/fiche.html,motoplanete-23916,suzuki,2006,35000.0,Roadster,1500.0,gsf 1200 n bandit 2006,1200.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/39294/SEF-R-450/fiche.html,motoplanete-39294,sherco,2020,2751.0,Enduro,8499.0,sef-r 450 2020,450.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/27719/ADVENTURE/fiche.html,motoplanete-27719,tm,2020,2750.0,Trail,9990.0,k adventure 2020,790.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41909/XL1200V/fiche.html,motoplanete-41909,harley-davidson,2013,62393.0,Custom,7900.0,xl1200v 2013,1200.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42227/Z/fiche.html,motoplanete-42227,kawasaki,2020,500.0,Roadster,8399.0,z 2020,948.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/1675/SSIE/fiche.html,motoplanete-1675,ducati,2005,20160.0,Sportive,3490.0,ssie 2012,800.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41844/VFR-800-F/fiche.html,motoplanete-41844,honda,1998,45000.0,Routière & GT,1990.0,vfr 800 f 1998,800.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/36531/R-1250-RT/fiche.html,motoplanete-36531,bmw,2020,3350.0,Routière & GT,22990.0,r 1250 rt 2020,1250.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/36945/MT-125-ABS/fiche.html,motoplanete-36945,yamaha,2019,14985.0,Roadster,4490.0,mt-125 abs 2019,125.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41919/990-SUPER-DUKE/fiche.html,motoplanete-41919,tm,2011,22500.0,Roadster,7390.0,k 990 super duke 2011,990.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42280/XV-950-BOLT-R/fiche.html,motoplanete-42280,yamaha,2014,4600.0,Custom,7950.0,xv 950 bolt r 2014,950.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41703/ZH2/fiche.html,motoplanete-41703,kawasaki,2021,131.0,Roadster,16590.0,zh2 2021,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/39523/TIGER-EXPLORER-XCX-LRH/fiche.html,motoplanete-39523,triumph,2012,44323.0,Trail,8990.0,tiger explorer xcx lrh 2012,1200.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42455/MT-07-475CV/fiche.html,motoplanete-42455,yamaha,2017,39465.0,Roadster,4990.0,mt-07 (47.5cv) 2017,695.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41500/TRACER-700/fiche.html,motoplanete-41500,yamaha,2016,3500.0,Trail,7490.0,tracer 700 2016,685.0,2021/06/04 - 22h20
https://www.motoplanete.com/occasion-moto/41802/FZ8-S/fiche.html,motoplanete-41802,yamaha,2010,29000.0,Routière & GT,5290.0,fz8 s 2010,800.0,2021/06/04 - 22h20
https://www.motoplanete.com/occasion-moto/41829/CB-500-X/fiche.html,motoplanete-41829,honda,2017,17600.0,Roadster,5290.0,cb 500 x 2017,500.0,2021/06/04 - 22h20
https://www.motoplanete.com/occasion-moto/42025/YZF-R3/fiche.html,motoplanete-42025,yamaha,2018,998.0,Sportive,5290.0,yzf-r3 2018,320.0,2021/06/04 - 22h20
https://www.motoplanete.com/occasion-moto/36993/CHALLENGER/fiche.html,motoplanete-36993,indian,2020,1700.0,Custom,27790.0,challenger 2020,1768.0,2021/06/04 - 22h20
https://www.motoplanete.com/occasion-moto/38364/VFR-800-F/fiche.html,motoplanete-38364,honda,2019,10157.0,Routière & GT,10999.0,vfr 800 f 2019,800.0,2021/06/04 - 22h20
https://www.motoplanete.com/occasion-moto/27563/R-1200-RT/fiche.html,motoplanete-27563,bmw,2007,91430.0,Routière & GT,5790.0,r 1200 rt 2007,1200.0,2021/06/04 - 22h20
